#Firmware: MS3 1.4.0 release     20150709 19:51BST (c) JSM/KC ********
PriLevel,SecLevel,Trigger,Sync,ToothTime,Time
Flag,Flag,Flag,Flag,ms,ms
0.0,0.0,0.0,1.0,0.706,2375.4219
1.0,0.0,0.0,1.0,20.499,2395.921
0.0,0.0,0.0,1.0,0.688,2396.609
1.0,0.0,0.0,1.0,12.742,2409.3508
0.0,0.0,0.0,1.0,0.699,2410.0498
0.0,0.0,1.0,1.0,11.219,2421.2688
1.0,0.0,0.0,1.0,9.207,2430.4758
0.0,0.0,0.0,1.0,0.693,2431.169
1.0,0.0,0.0,1.0,12.7,2443.869
0.0,0.0,0.0,1.0,0.686,2444.555
1.0,0.0,0.0,1.0,20.312,2464.867
0.0,0.0,0.0,1.0,0.677,2465.544
1.0,0.0,0.0,1.0,12.587,2478.1309
0.0,0.0,0.0,1.0,0.697,2478.828
0.0,0.0,1.0,1.0,7.188,2486.0159
0.0,0.0,1.0,1.0,7.683,2493.699
1.0,0.0,0.0,1.0,5.481,2499.18
0.0,0.0,0.0,1.0,0.677,2499.857
1.0,0.0,0.0,1.0,12.698,2512.555
0.0,0.0,0.0,1.0,0.701,2513.2559
1.0,0.0,0.0,1.0,20.486,2533.742
0.0,0.0,0.0,1.0,0.692,2534.4338
1.0,0.0,0.0,1.0,12.759,2547.1929
0.0,0.0,0.0,1.0,0.709,2547.9019
0.0,0.0,1.0,1.0,11.239,2559.1409
1.0,0.0,0.0,1.0,9.26,2568.401
0.0,0.0,0.0,1.0,0.691,2569.0918
1.0,0.0,0.0,1.0,12.747,2581.8389
0.0,0.0,0.0,1.0,0.696,2582.535
1.0,0.0,0.0,1.0,20.496,2603.031
0.0,0.0,0.0,1.0,0.683,2603.714
1.0,0.0,0.0,1.0,12.719,2616.433
0.0,0.0,0.0,1.0,0.702,2617.135
0.0,0.0,1.0,1.0,7.274,2624.409
0.0,0.0,1.0,1.0,7.735,2632.144
1.0,0.0,0.0,1.0,5.482,2637.626
0.0,0.0,0.0,1.0,0.68,2638.306
1.0,0.0,0.0,1.0,12.765,2651.0708
0.0,0.0,0.0,1.0,0.698,2651.7688
1.0,0.0,0.0,1.0,20.511,2672.2798
0.0,0.0,0.0,1.0,0.691,2672.9707
1.0,0.0,0.0,1.0,12.753,2685.7236
0.0,0.0,0.0,1.0,0.699,2686.4226
0.0,0.0,1.0,1.0,11.208,2697.6306
1.0,0.0,0.0,1.0,9.2,2706.8306
0.0,0.0,0.0,1.0,0.693,2707.5237
1.0,0.0,0.0,1.0,12.669,2720.1926
0.0,0.0,0.0,1.0,0.698,2720.8906
1.0,0.0,0.0,1.0,20.409,2741.2996
0.0,0.0,0.0,1.0,0.677,2741.9766
1.0,0.0,0.0,1.0,12.687,2754.6636
0.0,0.0,0.0,1.0,0.692,2755.3555
0.0,0.0,1.0,1.0,7.266,2762.6216
0.0,0.0,1.0,1.0,7.75,2770.3716
1.0,0.0,0.0,1.0,5.546,2775.9175
0.0,0.0,0.0,1.0,0.703,2776.6204
1.0,0.0,0.0,1.0,12.955,2789.5754
0.0,0.0,0.0,1.0,0.718,2790.2935
1.0,0.0,0.0,1.0,20.972,2811.2654
0.0,0.0,0.0,1.0,0.71,2811.9753
1.0,0.0,0.0,1.0,13.11,2825.0854
0.0,0.0,0.0,1.0,0.715,2825.8005
0.0,0.0,1.0,1.0,11.528,2837.3286
1.0,0.0,0.0,1.0,9.515,2846.8435
0.0,0.0,0.0,1.0,0.711,2847.5544
1.0,0.0,0.0,1.0,13.09,2860.6445
0.0,0.0,0.0,1.0,0.725,2861.3696
1.0,0.0,0.0,1.0,21.093,2882.4626
0.0,0.0,0.0,1.0,0.698,2883.1606
1.0,0.0,0.0,1.0,13.107,2896.2676
0.0,0.0,0.0,1.0,0.723,2896.9905
0.0,0.0,1.0,1.0,7.509,2904.4995
0.0,0.0,1.0,1.0,7.954,2912.4536
1.0,0.0,0.0,1.0,5.656,2918.1096
0.0,0.0,0.0,1.0,0.711,2918.8206
1.0,0.0,0.0,1.0,13.19,2932.0105
0.0,0.0,0.0,1.0,0.711,2932.7214
1.0,0.0,0.0,1.0,21.27,2953.9915
0.0,0.0,0.0,1.0,0.725,2954.7166
1.0,0.0,0.0,1.0,13.252,2967.9685
0.0,0.0,0.0,1.0,0.72,2968.6885
0.0,0.0,1.0,1.0,11.694,2980.3826
1.0,0.0,0.0,1.0,9.655,2990.0376
0.0,0.0,0.0,1.0,0.715,2990.7527
1.0,0.0,0.0,1.0,13.305,3004.0576
0.0,0.0,0.0,1.0,0.721,3004.7786
1.0,0.0,0.0,1.0,21.301,3026.0796
0.0,0.0,0.0,1.0,0.702,3026.7815
1.0,0.0,0.0,1.0,13.201,3039.9824
0.0,0.0,0.0,1.0,0.713,3040.6953
0.0,0.0,1.0,1.0,7.564,3048.2593
0.0,0.0,1.0,1.0,8.086,3056.3452
1.0,0.0,0.0,1.0,5.809,3062.1543
0.0,0.0,0.0,1.0,0.73,3062.8843
1.0,0.0,0.0,1.0,13.593,3076.4773
0.0,0.0,0.0,1.0,0.723,3077.2002
1.0,0.0,0.0,1.0,21.709,3098.9092
0.0,0.0,0.0,1.0,0.715,3099.6243
1.0,0.0,0.0,1.0,13.441,3113.0652
0.0,0.0,0.0,1.0,0.736,3113.8013
0.0,0.0,1.0,1.0,11.851,3125.6523
1.0,0.0,0.0,1.0,9.721,3135.3733
0.0,0.0,0.0,1.0,0.741,3136.1143
1.0,0.0,0.0,1.0,13.431,3149.5452
0.0,0.0,0.0,1.0,0.743,3150.288
1.0,0.0,0.0,1.0,21.665,3171.9531
0.0,0.0,0.0,1.0,0.717,3172.6702
1.0,0.0,0.0,1.0,13.467,3186.1372
0.0,0.0,0.0,1.0,0.732,3186.8691
0.0,0.0,1.0,1.0,7.715,3194.5842
0.0,0.0,1.0,1.0,8.128,3202.7122
1.0,0.0,0.0,1.0,5.813,3208.5251
0.0,0.0,0.0,1.0,0.724,3209.2493
1.0,0.0,0.0,1.0,13.494,3222.7432
0.0,0.0,0.0,1.0,0.728,3223.4712
1.0,0.0,0.0,1.0,21.698,3245.1692
0.0,0.0,0.0,1.0,0.731,3245.9001
1.0,0.0,0.0,1.0,13.47,3259.37
0.0,0.0,0.0,1.0,0.739,3260.1091
0.0,0.0,1.0,1.0,11.875,3271.9841
1.0,0.0,0.0,1.0,9.805,3281.789
0.0,0.0,0.0,1.0,0.725,3282.5142
1.0,0.0,0.0,1.0,13.49,3296.0042
MARK 000
